universe,universe_name,symbol,security_id,exchange_segment,instrument_type,company_name,series,source,mapping_status,source_symbol
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,HCLTECH,7229,NSE_EQ,EQUITY,HCL Technologies,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,HCLTECH
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,WIPRO,3787,NSE_EQ,EQUITY,Wipro,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,WIPRO
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ABBOTINDIA,17903,NSE_EQ,EQUITY,Abbott,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,ABBOTINDIA
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,GLAXO,1153,NSE_EQ,EQUITY,GlaxoSmithKline Pharmaceuticals,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,GLAXO
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,SANOFI,1442,NSE_EQ,EQUITY,Sanofi,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,SANOFI
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,PFIZER,2643,NSE_EQ,EQUITY,Pfizer,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,PFIZER
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,PIDILITIND,2664,NSE_EQ,EQUITY,Pidilite Industries,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,PIDILITIND
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,GILLETTE,1576,NSE_EQ,EQUITY,Gillette,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,GILLETTE
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,NIFTYBEES,10576,NSE_EQ,EQUITY,Nippon Nifty 50 ETF (NIFTYBEES),EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,NIFTYBEES
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BANKBEES,11439,NSE_EQ,EQUITY,Nippon Nifty Bank ETF (BANKBEES),EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BANKBEES
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BAJAJ-AUTO,16669,NSE_EQ,EQUITY,Bajaj Auto,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BAJAJ_AUTO
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ULTRACEMCO,11532,NSE_EQ,EQUITY,UltraTech Cement,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,UTLTRACEMCO
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,AMBUJACEM,1270,NSE_EQ,EQUITY,Ambuja Cements,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,AMBUJACEM
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,3MINDIA,474,NSE_EQ,EQUITY,3M India,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,3MINDIA
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,PGHL,940,NSE_EQ,EQUITY,Procter & Gamble Health,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,PGHL
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,ASTRAZEN,5610,NSE_EQ,EQUITY,AstraZeneca Pharma,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,ASTRAZEN
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,AVANTIFEED,7936,NSE_EQ,EQUITY,Avanti Feeds,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,AVANTIFEED
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BAYERCROP,17927,NSE_EQ,EQUITY,Bayer Crop Science,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BAYERCROP
hemant_super_good_200_union,Hemant Super + Good 45 + Good 200,BOSCHLTD,2181,NSE_EQ,EQUITY,Bosch,EQ,hemant_super_45 + hemant_good_45 + hemant_good_200,mapped,BOSCHLTD
