universe,universe_name,symbol,security_id,exchange_segment,instrument_type,company_name,series,source,mapping_status,source_symbol
hemant_super_45,Hemant Super 45,PAGEIND,14413,NSE_EQ,EQUITY,Page Industries,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,PAGEIND
hemant_super_45,Hemant Super 45,WHIRLPOOL,18011,NSE_EQ,EQUITY,Whirlpool,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,WHIRLPOOL
hemant_super_45,Hemant Super 45,HAVELLS,9819,NSE_EQ,EQUITY,Havells,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,HAVELLS
hemant_super_45,Hemant Super 45,TCS,11536,NSE_EQ,EQUITY,Tata Consultancy Services,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,TCS
hemant_super_45,Hemant Super 45,INFY,1594,NSE_EQ,EQUITY,Infosys,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,INFY
hemant_super_45,Hemant Super 45,HCLTECH,7229,NSE_EQ,EQUITY,HCL Technologies,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,HCLTECH
hemant_super_45,Hemant Super 45,WIPRO,3787,NSE_EQ,EQUITY,Wipro,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,WIPRO
hemant_super_45,Hemant Super 45,ABBOTINDIA,17903,NSE_EQ,EQUITY,Abbott,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,ABBOTINDIA
hemant_super_45,Hemant Super 45,GLAXO,1153,NSE_EQ,EQUITY,GlaxoSmithKline Pharmaceuticals,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,GLAXO
hemant_super_45,Hemant Super 45,SANOFI,1442,NSE_EQ,EQUITY,Sanofi,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,SANOFI
hemant_super_45,Hemant Super 45,PFIZER,2643,NSE_EQ,EQUITY,Pfizer,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,PFIZER
hemant_super_45,Hemant Super 45,PIDILITIND,2664,NSE_EQ,EQUITY,Pidilite Industries,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,PIDILITIND
hemant_super_45,Hemant Super 45,GILLETTE,1576,NSE_EQ,EQUITY,Gillette,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,GILLETTE
hemant_super_45,Hemant Super 45,NIFTYBEES,10576,NSE_EQ,EQUITY,Nippon Nifty 50 ETF (NIFTYBEES),EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,NIFTYBEES
hemant_super_45,Hemant Super 45,BANKBEES,11439,NSE_EQ,EQUITY,Nippon Nifty Bank ETF (BANKBEES),EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,BANKBEES
hemant_super_45,Hemant Super 45,BAJAJ-AUTO,16669,NSE_EQ,EQUITY,Bajaj Auto,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,BAJAJ_AUTO
hemant_super_45,Hemant Super 45,ULTRACEMCO,11532,NSE_EQ,EQUITY,UltraTech Cement,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,UTLTRACEMCO
hemant_super_45,Hemant Super 45,AMBUJACEM,1270,NSE_EQ,EQUITY,Ambuja Cements,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_super_45.csv,mapped,AMBUJACEM
