universe,universe_name,symbol,security_id,exchange_segment,instrument_type,company_name,series,source,mapping_status,source_symbol
hemant_good_45,Hemant Good 45,3MINDIA,474,NSE_EQ,EQUITY,3M India,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,3MINDIA
hemant_good_45,Hemant Good 45,PGHL,940,NSE_EQ,EQUITY,Procter & Gamble Health,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,PGHL
hemant_good_45,Hemant Good 45,ASTRAZEN,5610,NSE_EQ,EQUITY,AstraZeneca Pharma,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,ASTRAZEN
hemant_good_45,Hemant Good 45,AVANTIFEED,7936,NSE_EQ,EQUITY,Avanti Feeds,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,AVANTIFEED
hemant_good_45,Hemant Good 45,BAYERCROP,17927,NSE_EQ,EQUITY,Bayer Crop Science,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,BAYERCROP
hemant_good_45,Hemant Good 45,BOSCHLTD,2181,NSE_EQ,EQUITY,Bosch,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,BOSCHLTD
hemant_good_45,Hemant Good 45,CAPLIPOINT,3906,NSE_EQ,EQUITY,Caplin Point Laboratories,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,CAPLIPOINT
hemant_good_45,Hemant Good 45,KAJARIACER,1808,NSE_EQ,EQUITY,Kajaria Ceramics,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,KAJARIACER
hemant_good_45,Hemant Good 45,CERA,15039,NSE_EQ,EQUITY,Cera Sanitaryware,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,CERA
hemant_good_45,Hemant Good 45,DIXON,21690,NSE_EQ,EQUITY,Dixon Technologies,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,DIXON
hemant_good_45,Hemant Good 45,TVSMOTOR,8479,NSE_EQ,EQUITY,TVS Motors,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,TVSMOTOR
hemant_good_45,Hemant Good 45,HEROMOTOCO,1348,NSE_EQ,EQUITY,Hero Motocorp,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,HEROMOTOCO
hemant_good_45,Hemant Good 45,EICHERMOT,910,NSE_EQ,EQUITY,Eicher Motors,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,EICHERMOT
hemant_good_45,Hemant Good 45,EQUITAS,,,,,,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,missing_security_id,EQUITAS
hemant_good_45,Hemant Good 45,ERIS,21154,NSE_EQ,EQUITY,Eris Lifesciences,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,ERIS
hemant_good_45,Hemant Good 45,KEI,13310,NSE_EQ,EQUITY,KEI Industries,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,KEI
hemant_good_45,Hemant Good 45,FINCABLES,1038,NSE_EQ,EQUITY,Finolex Cables,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,FINCABLES
hemant_good_45,Hemant Good 45,FINEORG,3744,NSE_EQ,EQUITY,Fine Organic Industries,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,FINEORG
hemant_good_45,Hemant Good 45,GODREJCP,10099,NSE_EQ,EQUITY,Godrej Consumer Products,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,GODREJCP
hemant_good_45,Hemant Good 45,HONAUT,3417,NSE_EQ,EQUITY,Honeywell Automation,EQ,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,mapped,HONAUT
hemant_good_45,Hemant Good 45,ISEC,,,,,,C:\Users\Sunny\Desktop\Coding Practice\Algo Trading\Streamlit Scanner App\data\universes\hemant_good_45.csv,missing_security_id,ISEC
